;title;body;category;sub_category;date;link
168;US job creation tumbles in March unemployment steady at 41;Monthly job creation in the worlds largest economy tumbledin March to its lowest level in six months with employers adding only 103000 net new positions the government reported Friday The result was less than a third of the payroll gains in February and far lower than the175000 analysts expected But the US unemployment rate held steady at 41 for the sixth month in a row and wages rose faster than expected Job creation slowed precipitously or even reversed industrial sectors across the economy which gave back some of the gains recorded in Februarys monster hiring spree The slowdown in hiring was likely to be unwelcome news at the White House as President Donald Trump presses ahead multi-front confrontation with China and other trade partners that has alarmed much the business community and Republican Party The construction workforce shed 15000 positions while the retail industry shrank by 4400 employees Even sectors that posted gains such as manufacturing health care and mining saw job creation slow while government hiring was negligible Meanwhile worker wages rose faster than economists had predicted rising 03 percent for the month to 2682 Worker pay is now up a robust 27 percent over March of 2017 suggesting a tight labor market may at last be driving up compensation and could spur higher inflation;News;Business;Fri, April 6, 2018 07:47 pm;http://www.thejakartapost.com/news/2018/04/06/us-job-creation-tumbles-in-march-unemployment-steady-at-41.html
169; Grab to operate in 120 Indonesian cities after Uber acquisition;Ride-hailing company Grabs acquisition of competitor Uber will allow the latter to expand its Indonesian operation and serve 120 cities across the nation Grab Indonesia managing director Ridzki Kramadibrata said on Friday We believe that the acquisition will have a positive impact on Indonesia  We will always cooperate with the government to further push the country forward Ridzki said in a statement received by The Jakarta Post After the acquisition was announced on March 26 about 70 percent of Uber drivers joined the Grab platform With more drivers joining the company Ridzki added the ride-hailing service would be able to cut costs and work more efficiently in serving customers which would benefit all parties involved In the long run we will become the number one online-to-offline O2O mobile platform that will help solve various problems including traffic as well as develop financial inclusion and help households increase their income he said Under Grab Indonesias master plan the company will create more business opportunities through its planned expansions not only in the transportation sector but also through the expansion of other business like GrabFood GrabExpress GrabPay and GrabFinancial Ridzki claimed that 3million Indonesians have enjoyed Grabs digital economy through several partnerships with Kudo PayTren and Madhang Grab projects to create 100 million micro entrepreneurs in Southeast Asia by 2020 he added bbn;News;Business;Fri, April 6, 2018 06:58 pm;http://www.thejakartapost.com/news/2018/04/06/grab-to-operate-in-120-indonesian-cities-after-uber-acquisition.html
170;City to close schools during Asian Games to ease traffic;In a bid to ease traffic congestion in the capital during the 2018 Asian Games set to be held fromAug 18 to Sept 2 the Jakarta administration has decided to close all schools for nine days during weekdays The Jakarta Education Agency is ready to support the Asian Games Hence we have decided to close not only several schools in Jakarta but all of them the agencys head Sopan Adrianto said during an Asian Games preparation meetingon Friday Previously Jakarta Governor Anies Baswedan considered closing schools near the Asian Games venues  the Gelora Bung Karno sporting Complex in Senayan Central Jakarta and the velodrome and equestrian center in Rawamangun and Pulo Mas East Jakarta  to mitigate the expected heavy traffic congestion Sopan however said that closing only some schools would have been troublesome for the agency so it was decided that all schools both state and private would be closed The closure will not however impact the students effective learning hours as regulated by the Education Ministry as the education agency planned to cut the students holidays in December We shifted the holiday schedule from December to August Sopan said;News;City;Fri, April 6, 2018 06:15 pm;http://www.thejakartapost.com/news/2018/04/06/city-to-close-schools-during-asian-games-to-ease-traffic.html
171;Stranded Rohingya rescued by Aceh fishermen;Five Rohingya stranded at sea for almost three weeks have been rescued by Indonesian fishermen but several others died during the harrowing ordeal officials said Friday with the UN refugee agency saying it was alarmed at the deaths News of the rescue comes several days after the arrival in Malaysia of another boat carrying dozens of members of the persecuted Muslim minority from Myanmar The group of two men aged 28 and 33 a 20-year-old woman a 15-year-old girl and an eight-year old boy were spotted Monday in a small boat off the coast of southern Thailand and Myanmar some 325 kilometres 176 miles from Aceh province in Muslim-majority Indonesia The fishermen took them back to Aceh on Sumatra island and the group arrived early Friday They were immediately brought to a local hospital for treatment as they were weak Abdul Musafir head of the East Aceh search and rescue team told AFP They were released Friday afternoon into the custody of immigration officials for questioning Musafir said The group said they had been travelling with some two dozen other Rohingya but got separated according to authorities East Aceh police said the rescued five were stranded at sea for about 20 days while five others had starved to death and their bodies were thrown overboard The UN refugee agency UNHCR said it was sending staff to Aceh to provide assistance to the refugees and Indonesian authorities UNHCR is alarmed at reports that five or more Rohingya refugees may have died at sea before their vessel carrying five survivors was rescued it said in a statement The agency said it was trying to make contact with the dozens of Rohingya who came ashore in Malaysia this week and pointed to unconfirmed reports that suggested other small vessels carrying refugees from Myanmar may be at sea We are concerned for their safety and hope they will be rescued and allowed to disembark to the nearest place of safety UNHCR added It has been rare for Rohingya migrants to attempt the sea routes south since Thai authorities clamped down on regional trafficking networks in 2015 sparking a crisis across Southeast Asia as large numbers were abandoned at sea;News;National;Fri, April 6, 2018 05:50 pm;http://www.thejakartapost.com/news/2018/04/06/stranded-rohingya-rescued-by-aceh-fishermen.html
172;Kimia Farma to acquire three hospitals to target BPJS customers;State-owned pharmaceutical company PT Kimia Farma plans to acquire three hospitals to diversify its businesses The three hospitals are located in Jakarta West Java and East Java We are targeting BPJS Health Care and Social Security Agency participants In 2019 the health insurance will cover all levels of society It means we have to be prepared to serve 270 million people said Kimia Farma president director Honesti Basyir in Jakarta on Thursday as reported by kontancoid She said the company had prepared between Rp 500 billion US36 million and Rp 600 billion for the hospital acquisition She expressed the hope that the hospital acquisition would boost the performance of the company which had prepared Rp 35 trillion in capital expenditure capex this year From the capex the company plans to spend Rp 12 trillion for the expansion of its core businesses by constructing factories in Banjaran and Cikarang West Java while the remaining funds will be used for other acquisitions she added The company also plans this year to acquire pharmaceutical factories and establish 200 drugstores said Honesti adding that 10 drugstores had been acquired as of March Kimia Farma is also preparing to develop pharmaceutical factories in Saudi Arabia in cooperation with local company Bin Mahfouz Group She declined to mention the investment for its factory in Saudi Arabia bbn ;News;Business;Fri, April 20, 2018 03:34 pm;http://www.thejakartapost.com/news/2018/04/20/kimia-farma-to-acquire-three-hospitals-to-target-bpjs-customers.html
173;Police question men who accused Sukmawati of blasphemy;The people who reported Sukmawati Soekarnoputri the daughter of the countrys first president Sukarno told the Jakarta Police during questioning that the use of the words sharia full-face veil and adzan in the latters controversial poem were blasphemous against Islam Lawyer Denny Andrian Kusdayat and Hanura Party member Amron Asyhari as well as the East Java chapter of Indonesias largest Islamic organization Nahdlatul Ulama NU filed a report against Sukmawati on Tuesday claiming the latter had blasphemed against Islam by reading the poem which compared sharia tokondetraditional hair bun mockedcadarfull-face veil and insultedadzanMuslim call to prayer The investigators asked which verses were blasphemous or problematic within the poem We told them Just those three sharia full-face veil and adzan Denny saidafter the questioning at the Jakarta Police headquarters on Thursdaynight as reported by kompascom Sukmawati read the poem during a fashion event held to celebrate designer Anne Avanties 29th career anniversary during Indonesia Fashion Week IFW in Jakarta on March 29 Denny said the investigators also inquired about the witnesses present when the poem was read We saw there were artist Titiek Puspa Maritime Affairs and Fisheries Minister Susi Pudjiastuti and several other celebrities in attendance at the event Denny said the evidence of the crime was a viral video recording of Sukmawati reading the poem which the anniversary committee uploaded to the internet On Friday afternoon hundreds of protesters staged a rally against Sukmawati in Central Jakarta Jakarta Police spokesman Sr Commander Argo Yuwono said that acombined force of up to 6500 military personnel and police officers had been stationed at Istiqlal mosque to ensure security during the demonstration;News;City;Fri, April 6, 2018 05:20 pm;http://www.thejakartapost.com/news/2018/04/06/police-question-men-who-accused-sukmawati-of-blasphemy.html
174;Minister admits online single submission system hasnt worked yet;Coordinating Economic Minister Darmin Nasution admitted on Friday that the government had not been able to implement the online single submission OSS yet although initially he said it could have been implemented since late last month He said a number of ministries had not completed deregulating license procedures To the President I promised to complete the OSS system in the middle of April but it will be ready for the public by late April said Darmin at the Presidential Palace in Jakarta as quoted by kontancoid President Joko Jokowi Widodo has issued Presidential Regulation No 912017 as the legal basis for the implementation of the OSS system in trying to slash red tape and offer a faster process for issuing business permits OSS system preparation head Muwasiq M Noor said the main issues related to legal considerations because each government body has different regulatory procedural and technical aspects Darmin previously said the government planned to draft an omnibus bill -- a single bill aimed at amending several laws -- to speed up the business licensing process He said the omnibus bill was needed to amend at least 11 laws related to the issuing of licenses bbn ;News;Business;Fri, April 6, 2018 05:13 pm;http://www.thejakartapost.com/news/2018/04/06/minister-admits-online-single-submission-system-hasnt-worked-yet.html
175;Saracen leader gets 10-month prison sentence;A panel of judges at Pekanbaru District Court has sentenced Jasriadi the leader of hate-speech propagator network Saracen to 10 months in prison for illegally hacking into social media accounts Presiding judge Asep Koswara said 32-year-old Jasriadi was found guilty of illegally accessing computers and electronic systems belonging to other people Judges argued that Jasriadi had accessed several Facebook accounts including one owned by Sri Rahayu Ningsih an alleged coordinator of Saracen in West Java with her permission The defendant has been proven guilty of violating the 2016 Law on electronic information and transactions We sentence the defendant to 10 months in prison Asep said in a sentence hearing on Friday The sentence was lighter than the two years imprisonment sought by the prosecutors Asep and other judges Martin Ginting and Riska also declared in their verdict that no evidence had been found during the trial that Jasriadi was involved in the spread of hate speech containing sectarian sentiments such as had been committed by other Saracen members No evidence was found that the defendant manipulated created altered or destroyed electronic information and documents with the intention to make those documents authentic Thus we free him from the primary indictment Asep added Responding to the verdict Jasriadi said he would file an appeal against the verdict I didnt illegally access accounts I only helped renew the accounts at the owners request and with their permission I also acquired the password from the owners he said Meanwhile prosecutor Erik Kusnandar said his team would also file an appeal against the verdict handed down by the judges dpkrin;News;National;Fri, April 6, 2018 05:05 pm;http://www.thejakartapost.com/news/2018/04/06/saracen-leader-gets-10-month-prison-sentence.html
176; Pertaminas insurance subsidiary records 7165 percent net profit growth ;Insurance company Asuransi Tugu Pratama Indonesia ATPI a subsidiary of state-owned energy giant Pertamina has reported 7165 percent growth in net profit to Rp 2584 billion US199 million in 2017 from Rp 1663 billion the previous year It represented a rebound from its slow performance in the past five years with annual growth averaging 8 percent ATPI president director Indra Baruna said in Jakarta on Thursday that the increase in net profit was strongly supported by its main insurance products in the energy sector by providing insurance to big corporations offshore From the premiums income Tugu Pratama has generated Rp 7027 billion in revenue up from Rp 654 billion in 2016 while the returns from the companys investment contributed Rp 1937 billion an increase of 1607 percent from the previous years return In trying to improve its performance Indra added his company plans to introduce new insurance products outside of its core market this year We will introduce new insurance products targeting medium-sized companies Indra told journalists at a press conference adding that the company was focusing on the automotive industry In addition to insurance in the energy sector Tugu Pratama has insurance products for cargo and shipping life sharia and health among others roibbn;News;Business;Fri, April 6, 2018 04:36 pm;http://www.thejakartapost.com/news/2018/04/06/pertaminas-insurance-subsidiary-records-71-65-percent-net-profit-growth.html
177;Investors comfortably numb as Malaysia stocks brace for polls;As Malaysian Prime Minister Najib Razak kicks off the election process looking to extend the ruling coalitions 60 years of unbroken hold on power Geoffrey Ng is looking to Pink Floyd to sum up investors mood Have you heard of the song Comfortably Numb by Pink Floyd Ng a director of Fortress Capital Asset Management Sdn said in a phone interview in Kuala Lumpur Thats how we would describe the period right now for the Malaysian market Najib said Friday parliament will be dissolved on Saturday The election must be held within 60 days after dissolution of the legislature Malaysias stock gauge home to the worlds longest bull market run slid 01 percent at the midday break in Kuala Lumpur The gauge is up more than 2 percent this year with its 50-day historical price volatility elevated at a two-year high Investors will be on the sidelines from now till the elections Ng said Phillip Capital Management Sdn sees any result being met with muted reaction as concerns focus more on trade tensions between the US and China thats kept Asian equities on edge Alan Richardson of Samsung Asset Management Ltd said with risk aversion having risen since March from the trade spat there is little tolerance for political risk in Malaysia Every polls will have some uncertainty and investors will have to take it in their stride Ng said Market reaction is always dependent on the quantum of a win on either side Market expectations are for the ruling coalition to continue The FTSE Bursa Malaysia KLCI Index is up 120 percent from its October 2008 low in the longest bull market among nations in the MSCI All-Country World Index The strategy to outperform the market would still be a bottom-up approach to invest in stocks selectively said Ang Kok Heng chief investment officer at Phillip Capital I dont think there would be any impact people are more concerned about trade war than elections;News;Business;Fri, April 6, 2018 04:21 pm;http://www.thejakartapost.com/news/2018/04/06/investors-comfortably-numb-as-malaysia-stocks-brace-for-polls.html
178;Drugs smuggling through Indonesia-Malaysia border in Kalimantan thwarted;Personnel of the National Narcotics Agency BNN and Customs and Excise Office have foiled an attempt to smuggle crystal methamphetamine and thousands of ecstasy pills through the Entikong border in West Kalimantan The officials arrested four suspects and confiscated 2824 kilograms of crystal meth locally known as sabu-sabu and 21727 ecstasy pills BNN chief Comr Gen Heru Winarko said The BNN received a tip off from members of the public and followed it up with an investigation We later knew that there would be a drug delivery from Kuching Malaysia to Indonesia through Entikong border in Sanggau regency he said on Friday as reported by Antara The arrests were made in two different raids the first was on March 26 when officials apprehended Su 43 and An 54 on Jl Sosok Tayan in Sanggau and found seven kilograms of crystal meth and 21727 ecstasy pills in the car The two suspects told BNN officers that they had smuggled the drugs from Malaysia on the orders of a convicted drug dealer identified only as AP being held in Bengkayang prison A similar smuggling scheme was also revealed on April 1 when officials foiled an attempt to smuggle 2124 kilograms of crystal meth by suspects Arn 41 and SBL 49 on Jl Raya Ngabang-Pontianak Landak regency The two also said they were ordered by a convict identified only as DK who is currently serving time in Pontianak penitentiary The modus operandi for both cases was crossing the border on foot through illegal routes After crossing the border the suspects then rode on cars to carry the drugs Heru said Entikong is an area in Indonesia that borders directly with Sarawak in Malaysia It is an area prone to smuggling Heru added that the cases revealed that the official and the illegal border crossing routes in Entikong remained prone to drug smuggling activities from Malaysia to Indonesia He called for strengthening cooperation with the Malaysian authorities to curb drugs smuggling across the border ;News;National;Fri, April 6, 2018 04:15 pm;http://www.thejakartapost.com/news/2018/04/06/drugs-smuggling-through-indonesia-malaysia-border-in-kalimantan-thwarted.html
179; China enforces ban on online Bible sales ;Bibles have been pulled from Chinese online retailers in recent days merchants told AFP on Friday asCommunist authorities ramp up control over religious worship The clamp down on illegally published books also comes as the Vatican and Beijing negotiate a historic agreement on the appointment of bishops in China Bibles and books without publication numbers have all been removed in recent days a merchant on Chinese e-commerce platform Taobao told AFP without giving details on how authorities have enforced the ban However another merchant said she can list Old Testament editions of the Bible while English editions were still available in search results on Amazon China and Dangdangcom Online sales of other major religious texts including the Koran and the Taoist Daodejing did not appear to be affected All books sold in China technically must go through an official approval process but Bibles have been readily available in recent years The General Administration of Press and Publication GAPP governs the distribution of Chinas equivalent of the International Standard Book Number ISBN which is needed for books to be legally sold in the country Chinas State Council and GAPP authorities did not immediately respond to AFPs requests for clarification JinMingri pastor of the Protestant Zion Church in Beijing which is not registered with the government said the restrictions were tied to overall tightening in the overall environment Maybe authorities think that the spread of the Bible on informal channels is not conducive to state ideology Jin told AFP This certainly has an impact on believers access to the Bible he added The state-linked China Christian Council estimates the country has around 20 million Christians -- excluding Catholics -- in official churches supervised by the authorities But the true number of worshippers could be higher at least 40 million to 60 million according to some estimates as some pray at underground or house churches which seek to exist outside government control;News;World;Fri, April 6, 2018 03:55 pm;http://www.thejakartapost.com/news/2018/04/06/china-enforces-ban-on-online-bible-sales-.html
180;Navy veteran stabbed to death in South Jakarta;An 83-year-old Navy veteran identified as Hunaedi died of stab wounds after being attacked at his house in a Navy residential complex in Pondok Labu South Jakarta We found three stab wounds South Jakarta Police chief Sr Comr Indra Jafar said on Thursday night Indra said that Hunaedis wife was in her bedroom at the time of the attack When she opened the bedroom door the wife saw Hunaedi struggling against the killers Indra said The attackers entered the house and began to fight with Hunaedi at around 6 pm according to witness accounts The fight started on the porch the murder occurred in the living room Indra said Hunaedis neighbor Evi said there were two attackers who immediately fled the scene after the murder Quoting the victims wife Evi said that a day before the murder Hunaedi had posted on Facebook that his house was robbed and the perpetrators might have read the post On Wednesday afternoon Hunaedis house were robbed His pension money amounting to as much as Rp 32 million US2323 was taken by the robbers Hunaedi later posted a report of the robbery on Facebook Indra said as reported by wartakotatribunnewscom Indra said the victims wife was still in shock following the incident and could not give a statement The police have sealed the house and are using a tracker dog in their investigation ami;News;City;Fri, April 6, 2018 03:50 pm;http://www.thejakartapost.com/news/2018/04/06/navy-veteran-stabbed-to-death-in-south-jakarta.html
181;Former South Korean president Park jailed for 24 years for corruption ;South Koreas disgraced former president Park Geun-hye was jailed for 24 years Friday for corruption closing out a dramatic fall from grace for the countrys first woman leader who became a figure of public fury and ridicule A trial which lasted more than 10 months ended with Park being found guilty on multiple criminal charges including bribery and abuse of power Parks successor described the sentencing as a heartbreaking event for both the nation and the ex-leader herself The accused abused the power bestowed by the people -- the true ruler of this country -- to cause chaos in national administration said Judge Kim Se-yoon Despite all these crimes the accused denied all the charges against her displayed no remorse and showed an incomprehensible attitude by blaming Choi and other officials he said referring to Parks secret confidante and long-time friend Choi Soon-sil Park 66 was convicted of receiving or demanding more than 20 million from conglomerates sharing secret state documents with Choi ordering officials to stop offering state subsidies to blacklisted artists critical of her policies and firing officials who resisted her abuses of power The wide-ranging corruption scandal exposed shady links between big business and politics in South Korea prompting massive street protests against Park last year But on Friday the ruling was greeted with dismay in streets outside the courtroom by several hundred flag-waving Park supporters Many protesters sat on the pavement in tears while others began a protest march The rule of law in this country is dead today said Han Geun-hyung a 27-year-old Park supporter Park herself was not in court for Fridays judgement which in a rare move was broadcast live on television She had boycotted most sessions of the trial in protest at being held in custody;News;World;Fri, April 6, 2018 03:30 pm;http://www.thejakartapost.com/news/2018/04/06/former-s-korea-president-park-jailed-for-24-years-for-corruption-.html
182;Former Depok mayor questioned in corruption case;Former Depok mayor Nur Mahmudi Ismail has been questioned in connection to a corruption case revolving around the construction of a road in the West Java city during his leadership in 2015 Prosperous Justice Party PKS memberNur Mahmudi who served as Depok mayor from 2006 to 2016 was questionedon Thursday Depok Police chief Sr Comr Didik Sugiarto said irregularities had been discovered in the project Investigators are still gathering evidence as well as calculating the potential state losses he said at the Jakarta Police headquarterson Fridayas reported bykompascom Didik said 30 witnesses had been questioned and that officials from the Jakarta Development Comptroller BPKP were involved in investigating the case fac;News;City;Fri, April 20, 2018 03:17 pm;http://www.thejakartapost.com/news/2018/04/20/former-depok-mayor-questioned-in-corruption-case.html
183; More than 22m cans of mackerel recalled BPOM;The Food and Drug Monitoring Agency BPOM has recalled at least 22 million tins of imported mackerel contaminated with worms and around 47000 local products from the market since the agency named 27 out of 66 canned mackerel products as being tainted last week I can say that we have retrieved almost all the contaminated products but please report to us if anyone in the public still finds any such products BPOM food security supervision deputy Suratmono told the media after a press conference on Friday He further said the BPOM had halted all imported mackerel products until there was a further conclusion about the cause and new inspection framework by the Maritime Affairs and Fisheries Ministry Hence the public doesnt have to worry if they want to consume canned fish products even mackerel said BPOM head Penny Lukito The case has implicated big brands in the canned food industry such as ABC Fiesta Seafood and Pronas From 27 brands 16 are imported products and the rest are local products The brands have to retrieve all of the contaminated products from the market no later than one month from the report which means by April 28 Meanwhile the head of the Indonesia Fish Cannery Association Apiki has pledged to step up their supervision on imported raw material saying it would coordinate with the government more intensively We will tighten our production because we also sell our products overseas said Apiki head Adi Surya bbn;News;Business;Fri, April 6, 2018 02:47 pm;http://www.thejakartapost.com/news/2018/04/06/more-than-22m-cans-of-mackerel-recalled-bpom.html
184;Courts swift decision to reject Ahoks case review petition questioned;Several aspects ofthe Supreme Courts rejection of the case review petition filed by former Jakarta governor Basuki Ahok Tjahaja Purnama against his blasphemy conviction including its swift process have been deplored The Supreme Court handed down its ruling on March 26 only 19 days after receiving the case dossier from the North Jakarta District Court which is considered short compared to other cases Ahoks lawyer Fifi Lety Indra said for other cases like the murder case that convicted the former chairman of the Corruption Eradication Commission KPK Antasari Azhar it took 122 days for the court to reject the latters case review petition Citing the Supreme Courts statement that Ahoks case was swiftly decided because it had attracted public attention and was important Fifi said the court should have considered all cases equal This case was quickly decided because it was deemed important How could that be important The court shall see that all cases and individuals are equal This is a matter of principle Fifi saidon Thursdayaccording to kompascom Fifi who is also Ahoks sister said she did not understand why the court failed to consider evidence presented by the lawyers for example evidence that related to Buni Yani who was found guilty of tampering with videoused to support the blasphemy case against Ahok The panel of judges in Ahok case was led by justice Artidjo Alkostar whois famous for his harsh punishment toward corruption defendants Following the courts decision reports emerged that Artidjo was a member of the Islam Defenders Front FPI committee He later denied the reports The FPI was behind a series of rallies in which participants demanded the arrest and conviction of Ahok for his remarks which were deemed to be blasphemous toward Islam cal;News;City;Fri, April 6, 2018 02:20 pm;http://www.thejakartapost.com/news/2018/04/06/courts-swift-decision-to-reject-ahoks-case-review-petition-questioned.html
185;IIMS 2018 Mercedes-Benz to unveil Concept EQ ;Mercedes-Benz will participate in the upcoming Indonesia International Motor Show IIMS 2018 on April 19-29at the Jakarta International Expo in Kemayoran where it will introduce its new electric car ConceptEQ The new concept car whose initialsstand for electric intelligenceoffers a comprehensive electric mobility ecosystem of products services technologies and innovations according to a press releaseThe Jakarta Post received on Thursday EQ Power is a technology implemented in the E 350e Plug-in Hybrid modela sedan in the German carmakers mid-range E-Class linethat combines the 9G-TRONIC plug-in hybrid transmission and the latest generation of electric motors The new power electronics have allowed further increases in the electric motors output and torque to 65 kW 88 hp and 440 Nm respectively the press release said Mercedes-Benzwill showcase 11 models consisting of luxury sedans SUVs and vans in Jakarta International Expo Hall D 5A of the during the auto show It will also make available two E 350e cars for potential customers to test-drive bbn;News;Business;Fri, April 6, 2018 12:59 pm;http://www.thejakartapost.com/news/2018/04/06/iims-2018-mercedes-benz-to-unveil-concept-eq.html
186;No presidential declaration for me yet Prabowo;Gerindra Party chairman Prabowo Subianto said there was no declaration for his presidential candidacy yet in his partys national meeting slated to take place on April 11 amid reports of his plan to contest in the 2019 presidential election The national meeting aims to strengthen the coordination of the partys members for the 2019 legislative elections and presidential election which will be held concurrently for the first time There is no presidential declaration yet on April 11 It will only be a national coordinating meeting for the internal party he said on Thursday as reported by tempoco He refused to give details on why he had not yet decided to declare himself as a presidential hopeful despite being touted by his party to run in the 2019 election to challenge incumbent President Joko Jokowi Widodo who is seeking reelection Thirty-four Gerindra regional offices have given their support and pushed him to soon declare his plan for presidential candidacy The meeting will focus on Gerindras preparation for the legislative elections It will also discuss the requirements and procedures for members running through the party Gerindra deputy chairman Sufmi Dasco Ahmad could not confirm whether the meeting would end with Prabowos declaration to address the members support for the chairman dpkrin ;News;Politics;Fri, April 6, 2018 12:15 pm;http://www.thejakartapost.com/news/2018/04/06/no-presidential-declaration-for-me-yet-prabowo.html
187;Indonesia AirAsia records loss due to tax burden;Publicly listed firm AirAsia Indonesia parent company of low-cost carrier Indonesia AirAsia IAA has announced that it recorded Rp 51296 billion US359 million in losses in 2017 due to the tax burden The company noted that it had actually reaped Rp 30029 billion in profit in 2017 before taxes a considerable jump from Rp 9249 billion in the previous year The jump in profit before taxes was due to operational efficiency Meanwhile revenue was down slightly to Rp 382 trillion by the end of last year compared to Rp 389 trillion in 2016 The firm has recorded profit in the last two years and it has increased operational efficiency so it can push down operational costs said Indonesia AirAsia president director Dendy Kurniawan in an official statement on Thursday Operational costs are down by 714 percent to Rp 343 trillion in 2017 compared to the previous year He said the result was also the fruits of its efforts to develop profitable routes and optimize assets with higher utilization of its fleet Meanwhile the decrease in revenue was also attributed to the recent eruption of Mount Agung eruption in Bali bbn;News;Business;Fri, April 6, 2018 11:59 am;http://www.thejakartapost.com/news/2018/04/06/indonesia-airasia-records-loss-due-to-tax-burden.html
188;Pertamina makes headway in cleaning Balikpapan spill;On the fifth day after Saturdays oil spill in Balikpapan Bay the pollution has begun to clear the waters off East Kalimantans Semayang Port returning to a deep greenwith no visible oil slicks We dispatched no less than 1000 people to clean the oil spill We also had the support of volunteers from various civil society groups students community members and environmental activists Yudi NugrahastateKalimantan regional manager of social responsibility and communications at state oil and gas company Pertamina said on Thursday Yudi added that Pertamina had also deployed 15 vessels to tackle the polluted area in four predetermined zones The first zone stretches from Pertaminas Jetty 1to Kampung Baru The second zone covers the waters off Semayang Port while the third covers Monpera Beach and the fourthcovers Balikpapan Bay He said Pertaminahad utilized a variety of techniques and equipment for cleaning the oil spillfrom vacuum trucks to oil booms and to oil spill dispersant OSD To clean the waters ofthe beach we used oil skimmers and tug boats Yudi added The residents of Kampung Atas Air Margasari have also helped by collecting thousands of liters of oil by hand which Pertaminas clean-up teamspicked up forhazardous and toxic waste treatment We have been cleaning up the spill since Monday afternoon when the Balikpapan administration declaredemergency status said Ride the head of Margasari subdistrict ebf;News;National;Fri, April 6, 2018 11:51 am;http://www.thejakartapost.com/news/2018/04/06/pertamina-makes-headway-in-cleaning-balikpapan-spill.html
189;Pertamina banned from reducing subsidized fuel supply;The Energy and Mineral Resources Ministry has strongly warned state-owned energy firm Pertamina not to reduce the supply of subsidized fuels Premium brand gasoline and Solar brand diesel fuel to gas stations across the country Oil and gas director general Djoko Siswanto said in Jakarta on Thursday the government had clearly instructed the company to distribute certain amounts of subsidized fuels Under Downstream Oil and Gas Regulatory Agency BPH Migas Decree No 41P3JBKPBPH MigasKOM 2017 Pertamina is required to distribute 75 million kiloliters of Premium and 1437 million kl of Solar in 2018 as well as prepare 1 million kl of each Premium and Solar Soon after the stocks at gas stations run out Pertamina has to add to the supply said Djoko as quoted by kontancoid Many gas stations in Greater Jakarta frequently run out of the subsidized fuels forcing customers including drivers of angkot public minivans to turn to non-subsidized fuel Pertalite Certain Pertamina stations do not even sell Premium anymore A similar call was made by BPH Migas commissioner Hendry Achmad saying the decree that was issued by the agency referred to Presidential Regulation No 1912014 on supply distribution and retail prices of fuels Premium and Solar fuels are sold at Rp 6550 48 US cents and Rp 5150 respectively while Pertalite the cheaper non-subsidized fuel issold at Rp 7800 bbn;News;Business;Fri, April 6, 2018 11:45 am;http://www.thejakartapost.com/news/2018/04/06/pertamina-banned-from-reducing-subsidized-fuel-supply.html
190;Snack vendor arrested for showing porn to children;Banyumas Police have arrested Hasanudin 30 a resident ofCiamis inWest Java who works as a cilok vendorfor allegedly showing pornographic videoson his mobile phone to local children as a lure An officer at the Banyumas Police said Hasanudin lured children to buy cilok he sold at higher prices by offering them to watch porn videos from his mobile phone The suspect sold the cilok far above the usual price by promising the children a bonus  watching porn on his mobile phone aBanyumas Police officer that requested anonymity saidon Thursday Cilok an acronymfor aci-colok is a traditional snack made from tapioca shaped into balls and served with peanut sauce Hasanudin usually sold the snacktoelementary schoolchildrenin Karanglewas district ofBanyumas Central Java Usually each cilok is sold at Rp 500 5 US cents but he sold them for Rp 2000 each along with thebonus the police officer said The officer added that Hasanudinhad apparently succeeded in his tactic as within three days many children came to buy his overpriced cilok simply because they wanted to watch the porn videos The alleged crime came to light after several parents became suspicious when their children began asking for a higher daily allowance than the Rp 2000 they were usually given When their parents asked why some of the children admitted that they wanted to buy cilok with thebonus of watching bokep the officer said using the slang for porn The parents reported the matter to village officials who then reported Hasanudin to the police ebf;News;National;Fri, April 6, 2018 11:40 am;http://www.thejakartapost.com/news/2018/04/06/snack-vendor-arrested-for-showing-porn-to-children.html
191;Bulgarian shot to death for alleged involvement in ATM skimming;The Jakarta Police general crimes unit shot to death a man of Bulgarian nationality who was allegedly involved in an ATM skimming case The shooting happened two weeks after two other Bulgarians were arrested along with one Chilean and one Taiwanese national in relation to a string of ATM skimming incidents Jakarta Police spokesperson Sr Comr Argo Yuwono said the suspect attempted to attack officers using a sharp weapon during his arrest in Tangerang Bantenon Thursday The suspect took his belt buckle knife and tried to attack our personnel Argo said as quoted bytempoco He explained that the case had come to light when the Yogyakarta Police were investigating skimming incidents in Yogyakarta which led to the suspect who was staying in Tangerang The Yogyakarta Police then coordinated with the Jakarta Police to arrest the suspect The police seized evidence namely 940 cloning cards three laptops two encoders nine spy cams a skimmer card and a set of deep skimmers The suspect had installed skimmers in a number of ATMs in Tangerang Batam Yogyakarta Solo Bali and Bandung Argo said adding that the suspect was helped by two others who are still at large One of them a Bulgarian national allegedly provided skimming tools and cards to the suspect ATM skimming came to the publics attention on March 13 when dozens of Bank Rakyat Indonesia BRI customers in Kediri East Java reported loses ranging from Rp 500000 US35 to Rp 10 million per person vny;News;City;Fri, April 6, 2018 11:28 am;http://www.thejakartapost.com/news/2018/04/06/bulgarian-shot-to-death-for-alleged-involvement-in-atm-skimming.html
